sec,value
0,70
1,69
2,75
3,78
4,80
5,81
6,79
7,75
8,74
9,73
10,74
11,75
12,77
13,78
14,78
15,78
16,77
17,80
18,81
19,80
20,79
21,80
22,81
23,82
24,83
25,84
26,85
27,86
28,84
29,83
30,81
31,79
32,79
33,80
34,80
35,81
36,80
37,81
38,80
39,78
40,77
41,78
42,80
43,82
44,84
45,85
46,84
47,84
48,81
49,72
50,71
51,70
52,69
53,69
54,71
55,72
56,71
57,68
58,64
59,65
60,60
61,61
62,61
63,57
64,55
65,53
66,52
67,53
68,54
69,56
70,58
71,59
72,60
73,60
74,63
75,62
76,63
77,64
78,65
79,67
80,67
81,65
82,66
83,67
84,70
85,72
86,73
87,74
88,76
89,77
90,78
91,77
92,76
93,75
94,74
95,75
96,73
97,72
98,70
99,71
100,72
101,73
102,72
103,73
104,74
105,70
106,62
107,59
108,58
109,62
110,63
111,62
112,65
113,67
114,64
115,62
116,61
117,57
118,54
119,53
120,54
121,53
122,53
123,53
124,53
125,54
126,51
127,50
128,50
129,50
130,51
131,52
132,55
133,54
134,55
135,54
136,53
137,52
138,53
139,52
140,51
141,50
142,49
143,50
144,52
145,53
146,52
147,51
148,50
149,51
150,52
151,51
152,53
153,53
154,54
155,55
156,56
157,57
158,58
159,59
160,60
161,60
162,60
163,61
164,63
165,64
166,63
167,60
168,58
169,56
170,56
171,57
172,58
173,59
174,58
175,57
176,56
177,55
178,54
179,57
180,54
181,52
182,51
183,50
184,49
185,50
186,52
187,53
188,53
189,54
190,53
191,52
192,53
193,52
194,51
195,49
196,48
197,48
198,54
199,57
200,57
201,57
202,55
203,52
204,48
205,47
206,47
207,48
208,48
209,47
210,46
211,47
212,47
213,47
214,48
215,49
216,48
217,47
218,46
219,47
220,48
221,47
222,47
223,50
224,49
225,48
226,47
227,46
228,47
229,46
230,47
231,46
232,46
233,45
234,45
235,46
236,47
237,48
238,52
239,56
240,54
241,51
242,50
243,49
244,48
245,47
246,46
247,46
248,48
249,54
250,51
251,49
252,47
253,46
254,46
255,47
256,48
257,47
258,45
259,44
260,43
261,43
262,44
263,45
264,46
265,47
266,47
267,53
268,50
269,48
270,45
271,44
272,44
273,46
274,47
275,48
276,48
277,48
278,47
279,46
280,47
281,48
282,46
283,47
284,46
285,47
286,46
287,46
288,47
289,50
290,47
291,48
292,47
293,46
294,45
295,47
296,47
297,47
298,48
299,48
300,47
301,48
302,47
303,46
304,47
305,48
306,47
307,50
308,49
309,47
310,46
311,47
312,48
313,49
314,48
315,47
316,46
317,45
318,46
319,47
320,48
321,48
322,50
323,49
324,48
325,49
326,48
327,47
328,46
329,47
330,46
331,47
332,50
333,51
334,49
335,51
336,50
337,47
338,47
339,46
340,48
341,49
342,50
343,49
344,48
345,48
346,49
347,47
348,46
349,45
350,45
351,46
352,48
353,48
354,46
355,45
356,46
357,47
358,46
359,47
360,48
361,47
362,46
363,47
364,46
365,47
366,49
367,48
368,47
369,46
370,45
371,46
372,46
373,45
374,46
375,47
376,46
377,45
378,46
379,45
380,46
381,47
382,47
383,47
384,45
385,45
386,45
387,46
388,46
389,46
390,45
391,46
392,45
393,45
394,44
395,45
396,45
397,44
398,46
399,45
400,44
401,45
402,45
403,44
404,45
405,44
406,43
407,44
408,45
409,46
410,45
411,44
412,45
413,46
414,45
415,44
416,45
417,46
418,45
419,44
420,44
421,43
422,44
423,45
424,45
425,44
426,45
427,44
428,44
429,44
430,45
431,46
432,45
433,44
434,45
435,45
436,44
437,44
438,44
439,44
440,44
441,43
442,44
443,43
444,44
445,45
446,45
447,45
448,46
449,45
450,44
451,45
452,44
453,44
454,45
455,44
456,45
457,44
458,44
459,44
460,44
461,45
462,53
463,56
464,53
465,54
466,56
467,57
468,55
469,51
470,48
471,45
472,45
473,45
474,46
475,45
476,44
477,46
478,47
479,46
480,45
481,44
482,45
483,45
484,45
485,46
486,47
487,46
488,45
489,44
490,45
491,44
492,46
493,45
494,45
495,46
496,46
497,47
498,46
499,45
500,46
501,46
502,45
503,46
504,46
505,47
506,46
507,47
508,46
509,45
510,44
511,45
512,46
513,45
514,44
515,44
516,44
517,45
518,46
519,45
520,46
521,46
522,45
523,45
524,46
525,46
526,45
527,44
528,44
529,45
530,45
531,46
532,45
533,44
534,45
535,46
536,44
537,43
538,44
