,value,value,value,value,value,value,value,value
0,49.0,60.0,47.0,60.0,70.0,60.0,70.0,62
1,48.0,59.0,50.0,58.0,71.0,61.0,69.0,66
2,49.0,60.0,49.0,57.0,76.0,62.0,75.0,68
3,50.0,62.0,48.0,55.0,76.0,63.0,78.0,67
4,51.0,63.0,49.0,52.0,75.0,63.0,80.0,66
5,50.0,62.0,50.0,51.0,68.0,62.0,81.0,59
6,50.0,62.0,49.0,50.0,69.0,61.0,79.0,56
7,50.0,61.0,48.0,51.0,72.0,60.0,75.0,55
8,51.0,62.0,48.0,52.0,70.0,57.0,74.0,56
9,50.0,61.0,48.0,53.0,69.0,56.0,73.0,57
10,51.0,61.0,49.0,54.0,71.0,55.0,74.0,57
11,50.0,62.0,48.0,54.0,75.0,58.0,75.0,57
12,49.0,63.0,48.0,53.0,78.0,60.0,77.0,58
13,48.0,62.0,50.0,52.0,75.0,61.0,78.0,56
14,49.0,61.0,49.0,51.0,70.0,62.0,78.0,59
15,49.0,59.0,49.0,52.0,63.0,63.0,78.0,59
16,50.0,60.0,48.0,53.0,60.0,62.0,77.0,59
17,49.0,62.0,48.0,54.0,62.0,60.0,80.0,59
18,50.0,63.0,48.0,56.0,63.0,60.0,81.0,58
19,50.0,62.0,49.0,57.0,64.0,61.0,80.0,56
20,51.0,61.0,48.0,53.0,64.0,62.0,79.0,55
21,54.0,62.0,47.0,51.0,65.0,63.0,80.0,56
22,53.0,61.0,49.0,52.0,66.0,64.0,81.0,57
23,51.0,60.0,50.0,53.0,68.0,65.0,82.0,58
24,50.0,59.0,49.0,52.0,67.0,66.0,83.0,58
25,51.0,60.0,47.0,53.0,66.0,67.0,84.0,57
26,50.0,61.0,48.0,52.0,65.0,66.0,85.0,57
27,49.0,60.0,49.0,51.0,65.0,66.0,86.0,56
28,50.0,58.0,50.0,52.0,65.0,64.0,84.0,55
29,49.0,57.0,49.0,51.0,65.0,64.0,83.0,55
30,49.0,57.0,48.0,51.0,67.0,65.0,81.0,54
31,49.0,58.0,47.0,51.0,72.0,64.0,79.0,54
32,48.0,58.0,48.0,52.0,72.0,65.0,79.0,55
33,48.0,60.0,49.0,51.0,73.0,66.0,80.0,55
34,51.0,61.0,48.0,51.0,74.0,67.0,80.0,56
35,51.0,61.0,47.0,55.0,75.0,68.0,81.0,56
36,51.0,63.0,48.0,56.0,76.0,70.0,80.0,57
37,51.0,63.0,49.0,55.0,77.0,69.0,81.0,56
38,51.0,62.0,50.0,53.0,79.0,68.0,80.0,57
39,49.0,62.0,49.0,52.0,78.0,69.0,78.0,59
40,49.0,62.0,48.0,52.0,79.0,72.0,77.0,58
41,48.0,61.0,49.0,51.0,81.0,73.0,78.0,57
