,time,value
2018-12-15 00:00:11,00:00:11,47
2018-12-15 00:00:16,00:00:16,50
2018-12-15 00:00:21,00:00:21,49
2018-12-15 00:00:31,00:00:31,48
2018-12-15 00:00:41,00:00:41,49
2018-12-15 00:00:51,00:00:51,50
2018-12-15 00:01:01,00:01:01,49
2018-12-15 00:01:11,00:01:11,48
2018-12-15 00:01:26,00:01:26,48
2018-12-15 00:01:36,00:01:36,48
2018-12-15 00:01:46,00:01:46,49
2018-12-15 00:01:51,00:01:51,48
2018-12-15 00:02:06,00:02:06,48
2018-12-15 00:02:11,00:02:11,50
2018-12-15 00:02:16,00:02:16,49
2018-12-15 00:02:25,00:02:25,49
2018-12-15 00:02:30,00:02:30,48
2018-12-15 00:02:45,00:02:45,48
2018-12-15 00:03:00,00:03:00,48
2018-12-15 00:03:05,00:03:05,49
2018-12-15 00:03:15,00:03:15,48
2018-12-15 00:03:20,00:03:20,47
2018-12-15 00:03:35,00:03:35,49
2018-12-15 00:03:40,00:03:40,50
2018-12-15 00:03:55,00:03:55,49
2018-12-15 00:04:00,00:04:00,47
2018-12-15 00:04:10,00:04:10,48
2018-12-15 00:04:25,00:04:25,49
2018-12-15 00:04:30,00:04:30,50
2018-12-15 00:04:35,00:04:35,49
2018-12-15 00:04:40,00:04:40,48
2018-12-15 00:04:50,00:04:50,47
2018-12-15 00:04:55,00:04:55,48
2018-12-15 00:05:00,00:05:00,49
2018-12-15 00:05:10,00:05:10,48
2018-12-15 00:05:20,00:05:20,47
2018-12-15 00:05:25,00:05:25,48
2018-12-15 00:05:30,00:05:30,49
2018-12-15 00:05:35,00:05:35,50
2018-12-15 00:05:45,00:05:45,49
2018-12-15 00:05:50,00:05:50,48
2018-12-15 00:06:00,00:06:00,49
2018-12-15 00:06:05,00:06:05,48
2018-12-15 00:06:20,00:06:20,49
2018-12-15 00:06:30,00:06:30,50
2018-12-15 00:06:35,00:06:35,49
2018-12-15 00:06:50,00:06:50,50
2018-12-15 00:07:00,00:07:00,49
2018-12-15 00:07:15,00:07:15,50
2018-12-15 00:07:25,00:07:25,49
