,AVG,HR,RBI,SLG,OBP,OPS
1,0.323,15,62,0.479,0.377,0.856
2,0.315,18,77,0.514,0.382,0.896
3,0.313,3,29,0.387,0.365,0.752
4,0.31,4,49,0.4,0.354,0.754
5,0.308,23,92,0.505,0.398,0.903
6,0.301,30,105,0.533,0.33,0.863
7,0.3,26,90,0.547,0.389,0.936
8,0.293,4,41,0.377,0.39,0.767
9,0.291,15,61,0.43,0.372,0.802
10,0.29,17,62,0.447,0.381,0.828
11,0.29,8,60,0.407,0.398,0.805
12,0.29,4,38,0.35,0.364,0.714
13,0.284,28,94,0.513,0.396,0.909
14,0.284,9,38,0.403,0.366,0.769
15,0.279,35,86,0.563,0.333,0.896
16,0.271,14,56,0.405,0.311,0.716
17,0.269,13,52,0.415,0.332,0.747
18,0.264,4,36,0.355,0.297,0.652
19,0.263,18,79,0.444,0.373,0.817
20,0.262,2,50,0.331,0.292,0.623
21,0.262,15,76,0.389,0.329,0.718
22,0.261,16,46,0.421,0.334,0.755
23,0.254,32,80,0.506,0.358,0.864
24,0.247,24,78,0.435,0.364,0.799
25,0.243,4,34,0.325,0.324,0.649
26,0.243,21,60,0.427,0.327,0.754
27,0.241,20,61,0.443,0.308,0.751
28,0.206,2,27,0.257,0.285,0.542
29,0.322,25,89,0.536,0.398,0.934
30,0.31,31,99,0.589,0.426,1.015
31,0.296,17,47,0.497,0.37,0.867
32,0.296,9,44,0.416,0.378,0.794
33,0.293,3,60,0.367,0.362,0.729
34,0.291,19,99,0.453,0.347,0.8
35,0.285,9,49,0.392,0.36,0.752
36,0.281,26,75,0.49,0.356,0.846
37,0.277,6,47,0.349,0.32,0.669
38,0.274,5,33,0.353,0.314,0.667
39,0.271,31,82,0.493,0.342,0.835
40,0.27,6,42,0.35,0.355,0.705
41,0.27,3,57,0.351,0.317,0.668
42,0.269,8,44,0.397,0.375,0.772
43,0.266,31,68,0.488,0.374,0.862
44,0.265,14,47,0.391,0.352,0.743
45,0.264,14,64,0.422,0.317,0.739
46,0.264,24,71,0.458,0.319,0.777
47,0.262,35,103,0.513,0.347,0.86
48,0.26,13,51,0.434,0.302,0.736
49,0.26,11,52,0.398,0.35,0.748
50,0.258,10,48,0.39,0.315,0.705
51,0.258,15,46,0.417,0.302,0.719
52,0.237,23,65,0.424,0.304,0.728
53,0.229,32,90,0.459,0.308,0.767
54,0.217,27,79,0.446,0.319,0.765
55,0.216,16,67,0.367,0.31,0.677
